Name,ProjectedFP,flag,IDfg,flag_value
Aaron Ashby,99.05955086824444,Low projected PA/IP (injury/role concern),—,66.2
Yariel Rodriguez,98.96207766755556,Low projected PA/IP (injury/role concern),—,73.0
Nick Allen,98.78525680465812,Low projected PA/IP (injury/role concern),—,187.736
Mark Vientos,98.4078964118837,Low projected PA/IP (injury/role concern),—,202.118
Max Kepler,97.82808662652145,Low projected PA/IP (injury/role concern),—,118.148
Shawn Armstrong,97.58421548533333,Low projected PA/IP (injury/role concern),—,74.0
Shawn Armstrong,97.58421548533333,Age 36 — heightened decline risk,,35.6
Matt Strahm,97.42454823360002,Low projected PA/IP (injury/role concern),—,62.1
Keegan Akin,97.23938632333333,Low projected PA/IP (injury/role concern),—,63.1
Bryan King,96.85660512,Low projected PA/IP (injury/role concern),—,68.0
Tyler Kinley,96.77474929777779,Low projected PA/IP (injury/role concern),—,72.2
Tyler Kinley,96.77474929777779,Age 35 — heightened decline risk,,35.2
Casey Schmitt,96.47238025124628,Low projected PA/IP (injury/role concern),—,142.945
Logan Evans,96.40496520835553,Low projected PA/IP (injury/role concern),—,81.1
Brandon Woodruff,96.3077456872,Low projected PA/IP (injury/role concern),—,64.2
Ryan Bergert,96.1685153311111,Low projected PA/IP (injury/role concern),—,76.1
Curtis Mead,96.08820486542771,Low projected PA/IP (injury/role concern),—,233.614
Giancarlo Stanton,96.0039967301678,Low projected PA/IP (injury/role concern),—,245.702
Giancarlo Stanton,96.0039967301678,Age 36 — heightened decline risk,,36.4
J.T. Ginn,95.07280720888885,Low projected PA/IP (injury/role concern),—,90.1
Tyler Rogers,94.81148987099999,Low projected PA/IP (injury/role concern),—,77.1
Tyler Rogers,94.81148987099999,Age 35 — heightened decline risk,,35.3
Braxton Ashcraft,94.80461624906668,Low projected PA/IP (injury/role concern),—,69.2
Dylan Lee,94.42270512179998,Low projected PA/IP (injury/role concern),—,68.1
Michael Conforto,93.87891333661372,Low projected PA/IP (injury/role concern),—,165.106
Alex Verdugo,93.84716473494727,Low projected PA/IP (injury/role concern),—,182.319
Nick Castellanos,92.89352628127335,Low projected PA/IP (injury/role concern),—,47.1326
Carlos Vargas,92.6739369111111,Low projected PA/IP (injury/role concern),—,77.0
Trevor Williams,92.47134038384668,Low projected PA/IP (injury/role concern),—,82.2
Alex Vesia,91.08487925333334,Low projected PA/IP (injury/role concern),—,59.2
Masataka Yoshida,90.89937685069599,Low projected PA/IP (injury/role concern),—,177.024
Jacob Latz,90.8977784,Low projected PA/IP (injury/role concern),—,85.2
Garrett Cleavinger,90.61247222386667,Low projected PA/IP (injury/role concern),—,61.1
Rhys Hoskins,90.47627546607332,Low projected PA/IP (injury/role concern),—,221.715
Jake Bauers,89.83221198950088,Low projected PA/IP (injury/role concern),—,146.797
Emerson Hancock,89.58117376000003,Low projected PA/IP (injury/role concern),—,90.0
Spencer Bivens,89.40756729600001,Low projected PA/IP (injury/role concern),—,81.0
Hunter Gaddis,88.76329906666669,Low projected PA/IP (injury/role concern),—,66.2
Jacob Misiorowski,88.24464161333331,Low projected PA/IP (injury/role concern),—,66.0
Jared Koenig,87.85475981333332,Low projected PA/IP (injury/role concern),—,66.0
Otto Kemp,87.46630513879,Low projected PA/IP (injury/role concern),—,141.246
Gabe Speier,87.46514261333333,Low projected PA/IP (injury/role concern),—,62.0
Antonio Senzatela,87.45534777777777,Low projected PA/IP (injury/role concern),—,130.0
Calvin Faucher,87.41954314388889,Low projected PA/IP (injury/role concern),—,60.1
Brandon Eisert,87.19961799733333,Low projected PA/IP (injury/role concern),—,69.2
Randal Grichuk,87.03633940589214,Low projected PA/IP (injury/role concern),—,118.644
Justin Sterner,86.57758777777777,Low projected PA/IP (injury/role concern),—,65.0
Starling Marte,86.35536864372317,Age 38 — heightened decline risk,,37.5
Starling Marte,86.35536864372317,Low projected PA/IP (injury/role concern),—,175.294
Jason Alexander,86.18230161499997,Low projected PA/IP (injury/role concern),—,77.1
Tony Santillan,86.040131072,Low projected PA/IP (injury/role concern),—,73.2
Matt Svanson,85.4452756930889,Low projected PA/IP (injury/role concern),—,60.1
Phil Maton,85.2555795,Low projected PA/IP (injury/role concern),—,61.1
